n,seconds
1263,0.1627146790
1264,0.1601168810
1265,0.1638668740
1266,0.1623302520
1267,0.1622095180
1268,0.1657056040
1269,0.1665851270
1270,0.1610782320
1271,0.1606273330
1272,0.1575767880
1273,0.1597470120
1274,0.1630099090
1275,0.1586432780
1276,0.1731892570
1277,0.1572864900
1278,0.1577531890
1279,0.1651836220
1280,0.1616231220
1281,0.1678329770
1282,0.1632376750
1283,0.1667352880
1284,0.1718370680
1285,0.1753839440
1286,0.1633925470
1287,0.1636687280
1288,0.1615307380
1289,0.1847752870
1290,0.1706749670
1291,0.1612831320
1292,0.1729279000
1293,0.1653399090
1294,0.1648060590
1295,0.1638419500
1296,0.1713574700
1297,0.1610868630
1298,0.1703691760
1299,0.1671934130
1300,0.1646684290
1301,0.1747836520
1302,0.1662458570
1303,0.1633666150
1304,0.1714927720
1305,0.1719488740
1306,0.1711487290
1307,0.1597600260
1308,0.1726228290
1309,0.1580485900
1310,0.1628612450
1311,0.1656081410
1312,0.1614719420
1313,0.1670064800
1314,0.1746626010
1315,0.1626016400
1316,0.1713585400
1317,0.1788008060
1318,0.1593936180
1319,0.1591575660
1320,0.1632472970
1321,0.1692865260
1322,0.1649431020
1323,0.1998472630
1324,0.2025188230
1325,0.1678159220
1326,0.1782684640
1327,0.1643075970
1328,0.1941881300
1329,0.1713643180
1330,0.1664657380
1331,0.1977807130
1332,0.1886513910
1333,0.1739934820
1334,0.1625270230
1335,0.2300285170
1336,0.1861254360
1337,0.1846569680
1338,0.1786531600
1339,0.1668254080
1340,0.1868170060
1341,0.1712217830
1342,0.1793012110
1343,0.1722263540
1344,0.1671902260
1345,0.1745073790
1346,0.1671044350
1347,0.1859198120
1348,0.1765936930
1349,0.1779158160
1350,0.1824183200
1351,0.1719813120
1352,0.1742461890
1353,0.1855681830
1354,0.1734749110
1355,0.1732619850
1356,0.1945598590
1357,0.2101756490
1358,0.1815489360
1359,0.1714814600
1360,0.1717507380
1361,0.1824289040
1362,0.1685808830
1363,0.1760813040
1364,0.1799599590
1365,0.1769859470
1366,0.2567752680
1367,0.1737346890
1368,0.1771226770
1369,0.1725981080
1370,0.1809003540
1371,0.1762234270
1372,0.1723252510
1373,0.1788384840
1374,0.1774045730
1375,0.1924473310
1376,0.1846892250
1377,0.1802828330
1378,0.1801824690
1379,0.1804400300
1380,0.1841152680
1381,0.1821391410
1382,0.1950514180
1383,0.1861519260
1384,0.1745473770
1385,0.1813511780
1386,0.1904615930
1387,0.1881823480
1388,0.1885971570
1389,0.1827314310
1390,0.1839932540
1391,0.1842619640
1392,0.1870881880
1393,0.1898317860
1394,0.2001442150
1395,0.1884915630
1396,0.1903723540
1397,0.1854830840
1398,0.1873873770
1399,0.1874811900
1400,0.1938932990
1401,0.1880462470
1402,0.1804919060
1403,0.1890543770
1404,0.1852060970
1405,0.1802498020
1406,0.1938690480
1407,0.1951938650
1408,0.1838991880
1409,0.1915865890
1410,0.1875268200
1411,0.2042432840
1412,0.1844920550
1413,0.1929119330
1414,0.1863678810
1415,0.1931396730
1416,0.1820246560
1417,0.1836029450
1418,0.1910462960
1419,0.1962825110
1420,0.1947670770
1421,0.2011779260
1422,0.1988103720
1423,0.2011530970
1424,0.1919990520
1425,0.1915584690
1426,0.2051126410
1427,0.2069198530
1428,0.1928728020
1429,0.1942678330
1430,0.1967102260
1431,0.1966094040
1432,0.2114558400
1433,0.1893478230
1434,0.1939087900
1435,0.1974296740
1436,0.1929689210
1437,0.1924483890
1438,0.2044136280
1439,0.1939755480
1440,0.2007267590
1441,0.1988665170
1442,0.2235155150
1443,0.2005595550
1444,0.2047835320
1445,0.2170846040
1446,0.1914345040
1447,0.2603665600
1448,0.2088997720
1449,0.2008193900
1450,0.2075580790
1451,0.2326740140
1452,0.2263394280
1453,0.2049097910
1454,0.1959262710
1455,0.1949945740
1456,0.2074241340
1457,0.2401819360
1458,0.2470594960
1459,0.2104675280
1460,0.2081112250
1461,0.2069517290
1462,0.2101119440
1463,0.2118207650
1464,0.2040387250
1465,0.2046620330
1466,0.2053576150
1467,0.2055323900
1468,0.2049478700
1469,0.2035653770
1470,0.2098578560
1471,0.2020728450
1472,0.2082133210
1473,0.2134044580
1474,0.2009103000
1475,0.2061004640
1476,0.2299786830
1477,0.2191493270
1478,0.2118158070
1479,0.2073223340
1480,0.2251861980
1481,0.2158730620
1482,0.2113045490
1483,0.2099123640
1484,0.2184648860
1485,0.2115205550
1486,0.2035468580
1487,0.2172622260
1488,0.2047747300
1489,0.2251747640
1490,0.2296611620
1491,0.2067757600
1492,0.2130688030
1493,0.2238622860
1494,0.2235540300
1495,0.2186760960
1496,0.2118112850
1497,0.2076636570
